,id,Symbol,Name,LastSale,MarketValue,IPOyear,Sector,Industry,Summary Quote
107,108,LCM,Advent/Claymore Enhanced Growth & Income Fund,8.58,$116.71M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
108,109,ADVM,"Adverum Biotechnologies, Inc.",2.65,$110.55M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
109,110,MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.35,$1.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
110,111,ACM,AECOM,35.77,$5.56B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
111,112,ANW,Aegean Marine Petroleum Network Inc.,9.8,$386.16M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
112,113,AEGN,Aegion Corp,22.48,$763.48M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
113,114,AGLE,"Aeglea BioTherapeutics, Inc.",5.83,$78.3M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
114,115,AEB,Aegon NV,25.22,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
115,116,AED,Aegon NV,26.1,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
116,117,AEG,Aegon NV,5.28,$11.14B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
117,118,AEH,Aegon NV,25.7,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
118,119,AEK,Aegon NV,25.9,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
119,120,AEHR,Aehr Test Systems,4.75,$79.06M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
120,121,AMTX,"Aemetis, Inc",1.18,$23.43M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
121,122,AER,Aercap Holdings N.V.,45.35,$8.24B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
122,123,AERI,"Aerie Pharmaceuticals, Inc.",44.55,$1.49B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
123,124,ACY,AeroCentury Corp.,10,$15.67M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
124,125,HIVE,"Aerohive Networks, Inc.",5.01,$256.59M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
125,126,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",19.25,$1.43B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
126,127,AVAV,"AeroVironment, Inc.",26.58,$621.66M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
127,128,AEZS,AEterna Zentaris Inc.,3,$38.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
128,129,AEMD,"Aethlon Medical, Inc.",3.78,$30.1M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
129,130,AET,Aetna Inc.,128.97,$45.36B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
130,131,GNMX,"Aevi Genomic Medicine, Inc.",4.62,$171.39M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
131,132,AMG,"Affiliated Managers Group, Inc.",168.03,$9.21B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
132,133,MGR,"Affiliated Managers Group, Inc.",25.79,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
133,134,AFMD,Affimed N.V.,2,$86.52M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
134,135,AFL,Aflac Incorporated,71.71,$29.1B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
135,136,AFSD,Aflac Incorporated,25.39,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
136,137,MITT,"AG Mortgage Investment Trust, Inc.",18.07,$500.54M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
137,138,MITT^A,"AG Mortgage Investment Trust, Inc.",25.214,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
138,139,MITT^B,"AG Mortgage Investment Trust, Inc.",24.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
139,140,AGCO,AGCO Corporation,61.73,$4.95B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
140,141,AGEN,Agenus Inc.,3.845,$335M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
141,142,AGRX,"Agile Therapeutics, Inc.",2.24,$64.42M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
142,143,A,"Agilent Technologies, Inc.",51.74,$16.66B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
143,144,AGYS,"Agilysys, Inc.",9.27,$215.33M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
144,145,AGIO,"Agios Pharmaceuticals, Inc.",47.82,$2.02B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
